time,cfu,strain
20.71666667,3212500,metG*-RFP
20.71666667,3112500,metG*-RFP
26,4550000,metG*-RFP
26,5150000,metG*-RFP
16.5,1800000,metG*
23.08333333,3600000,metG*
14.25,1600000,metG*
20.71666667,550000,metG*-p-yqgE+
20.71666667,375000,metG*-p-yqgE+
26,1237500,metG*-p-yqgE+
26,1687500,metG*-p-yqgE+
16.5,200000,metG*-p-yqgE+
20.71666667,4550000,metG*-ΔyqgE-RFP
20.71666667,6487500,metG*-ΔyqgE-RFP
26,7887500,metG*-ΔyqgE-RFP
26,7225000,metG*-ΔyqgE-RFP
16.5,4600000,metG*-ΔyqgE
23.08333333,4300000,metG*-ΔyqgE
14.25,6300000,metG*-ΔyqgE
20.71666667,612500,metG*-ΔyqgE-p-yqgE+
20.71666667,1437500,metG*-ΔyqgE-p-yqgE+
26,1875000,metG*-ΔyqgE-p-yqgE+
26,1737500,metG*-ΔyqgE-p-yqgE+
16.5,180000,metG*-ΔyqgE-p-yqgE+
16.5,3800000,MG1655
23.08333333,5300000,MG1655
24.75,4825000,MG1655
24.75,6675000,MG1655
14.25,4200000,MG1655
16.5,3600000,MG1655-p-yqgE+
26.75,3800000,metG*-RFP
26.75,4200000,metG*-RFP
26.75,680000,metG*-p-yqgE+
26.75,710000,metG*-p-yqgE+
26.75,5600000,metG*-ΔyqgE-RFP
26.75,4400000,metG*-ΔyqgE-RFP
26.75,290000,metG*-ΔyqgE-p-yqgE+
26.75,540000,metG*-ΔyqgE-p-yqgE+
21.75,2200000,MG1655-ΔyqgE-p-yqgE+
21.75,3500000,MG1655-ΔyqgE-p-yqgE+
21.75,2600000,MG1655-ΔyqgE-p-yqgE+
21.75,4400000,MG1655-ΔyqgE-p-RFP+
21.75,6900000,MG1655-ΔyqgE-p-RFP+
21.75,4800000,MG1655-ΔyqgE-p-RFP+
16,4.70E+05,metG*-ΔyqgE-p-yqgE+
16,5200000,metG*-ΔyqgE-p-RFP+
16,1.60E+05,metG*-p-yqgE+
16,2.40E+06,metG*-p-RFP+
24,160000,metG*-p-yqgE+
24,220000,metG*-p-yqgE+
24,280000,metG*-p-yqgE+
24,3000000,metG*-p-RFP+
24,1800000,metG*-p-RFP+
24,2800000,metG*-p-RFP+
24,220000,metG*-ΔyqgE-p-yqgE+
24,120000,metG*-ΔyqgE-p-yqgE+
24,200000,metG*-ΔyqgE-p-yqgE+
24,5200000,metG*-ΔyqgE-p-RFP+
24,4400000,metG*-ΔyqgE-p-RFP+
24,6600000,metG*-ΔyqgE-p-RFP+
20,240000,metG*-p-yqgE+
20,260000,metG*-p-yqgE+
20,200000,metG*-p-yqgE+
20,320000,metG*-p-yqgE+
20,2600000,metG*-p-RFP+
20,3600000,metG*-p-RFP+
20,2600000,metG*-p-RFP+
20,2600000,metG*-p-RFP+
16,5000000,MG1655-p-yqgE+
16,4000000,MG1655-p-yqgE+
16,3800000,MG1655-p-yqgE+
16,5800000,MG1655-p-RFP+
16,5600000,MG1655-p-RFP+
16,7000000,MG1655-p-RFP+
19,2200000,MG1655-p-yqgE+
19,5000000,MG1655-p-RFP+
19,4600000,MG1655-p-RFP+
17,5000000,MG1655-Δlon-ΔsulA-pYqgE+
17,4800000,MG1655-Δlon-ΔsulA-pYqgE+
17,4600000,MG1655-Δlon-ΔsulA-pRFP+
17,3200000,MG1655-Δlon-ΔsulA-pRFP+
17,2800000,MG1655-ΔsulA-pYqgE+
17,2200000,MG1655-ΔsulA-pYqgE+
17,5200000,MG1655-ΔsulA-pRFP+
17,5000000,MG1655-ΔsulA-pRFP+
18.5,4600000,MG1655-Δlon-ΔsulA-pYqgE+
18.5,3800000,MG1655-Δlon-ΔsulA-pYqgE+
18.5,4000000,MG1655-Δlon-ΔsulA-pRFP+
18.5,4000000,MG1655-Δlon-ΔsulA-pRFP+
18.5,1000000,MG1655-ΔsulA-pYqgE+
18.5,1400000,MG1655-ΔsulA-pYqgE+
18.5,4800000,MG1655-ΔsulA-pRFP+
18.5,3600000,MG1655-ΔsulA-pRFP+